ID,QUERY,L1_primary_intent,L2_information_need,L3_constraints,reasoning,in_subset_30
42,"作为专业的采购经理或贸易买家，针对阿里巴巴链接 https://www.alibaba.com/product-detail/Compact-1-6L-Tritan-Vacuum-Sealed_1601229209762.html?spm=a2700.shop_index.90.3.184d22045hRbrp 中的1.6L Tritan真空密封水瓶产品，请执行以下具体分析任务：

**供应商分析要求：**
- 评估Odiist Creative Solutions的工厂规模、生产能力、质量认证（如ISO、FDA、LFGB等）
- 分析其产品线覆盖范围、主营类目、年产值和出口经验
- 评估供应商的响应速度、服务质量和历史交易记录

**产品技术分析要求：**
- 详细分析该1.6L真空保温杯的材质规格（Tritan材质等级、密封性能参数）
- 评估产品的保温/保冷性能数据、容量精度、安全标准符合性
- 对比同类产品的技术优势和潜在缺陷

**市场竞品分析要求：**
- 筛选阿里巴巴平台上真空保温杯类目下月销量前20名的产品
- 分析热销产品的价格区间（FOB价格）、起订量、交货期
- 总结热销产品的共同特征：容量规格、材质选择、外观设计、功能卖点

**输出内容要求：**
1. **优化版产品详情页**：包含吸引买家的产品标题、5-8张产品主图建议、详细规格参数表、至少3个核心卖点描述
2. **专业报价模板**：包含FOB价格（按不同起订量梯度）、包装规格、交货期、付款条件、质量保证条款和样品政策

**分析深度要求：**
- 每项分析需提供具体数据支撑和量化指标
- 结论需基于可验证的市场信息和技术参数
- 建议方案需考虑实际采购和销售可行性",product_discovery,supplier_evaluation|review_analysis|competitor_analysis|price_comparison|sales_data|platform_data,certification_required|moq_price_constraint|logistics_shipping|quality_specification,"The main goal is a comprehensive analysis of a specific product (1.6L Tritan vacuum bottle) on Alibaba, including supplier evaluation, technical/product analysis, and competitive benchmarking. This fits 'product_discovery' as it is about evaluating and optimizing a product listing for procurement and sales. The information needs include supplier evaluation (factory size, certifications, service), review analysis (performance, user pain points), competitor analysis (top-selling similar products), price comparison (FOB, MOQ), sales data (monthly sales), and platform data (Alibaba-specific). Constraints include required certifications (ISO, FDA, LFGB), MOQ/price (FOB, order quantity), logistics/shipping (delivery time), and quality specifications (material grade, performance parameters).",1
43,"Alright, what I want to create is the Cool Pets Australia Christmas Pet box. I wanna create an epic product here that can be created, produced, and packaged and sent to Australia immediately.

What I wanna do is work with a company that can drop ship or just send a heap to Australia. Not necessarily Christmas themed, but we can try and market them for the Christmas rush. What we wanna do is just create an absolute viral frenzy with it. I wanna go at the higher price point, so I wanna include cheap things that I can throw in this box that are gonna be of interest to pet owners. And I wanna be able to do it so we can promote Cool Pets Australia as well.

Like a box, it'll be a mystery box almost. We could price it at $350. It's got some good things in there that the average everyday pet owner needs for their cat or their dog, and we can tailor it. Small dog owner large dog owner cat owner",product_development,price_comparison|platform_data|trending_analysis,moq_price_constraint|logistics_shipping|region_specific|customization_oem,"The user is focused on creating and developing a new product (the Cool Pets Australia Christmas Pet box), specifying product features, pricing, and promotional strategies, which aligns with product_development. Information needs include price_comparison (looking for cheap items to include and a target price point), platform_data (potential for dropshipping and sourcing from suppliers), and trending_analysis (intention to create a viral product for the Christmas rush). Constraints mentioned are moq_price_constraint (wants cheap items for higher price point, budget consideration), logistics_shipping (need to send or dropship to Australia immediately), region_specific (targeting Australia), and customization_oem (tailoring boxes for different pet owners and branding as Cool Pets Australia).",1
44,"Source ultra–low cost, high-perceived value, viral products for limited-edition CoolPets Hype Drop Boxes. Target COGS $0.50–$3, premium max $5–$7. Items must look $15–$60 RRP, be highly presentable, unboxing-friendly, visually striking, interactive, and strong for TikTok/Instagram. Prefer cat-reactive items. Products must be lightweight, cheap to ship, easy to bulk-order via AliExpress/Alibaba/Temu, and made from safe, non-toxic materials (silicone, TPR, PP, cotton, polyester, BPA-free). Must align with CoolPets themes: cooling, summer survival, enrichment, treats, travel, grooming, toys, and seasonal drops.",product_discovery,trending_analysis|platform_data|price_comparison,moq_price_constraint|logistics_shipping|quality_specification,"The main goal is to discover ultra-low cost, viral, high-perceived value products suitable for themed drop boxes, which fits 'product_discovery.' The user seeks trending/viral items (trending_analysis), wants products suitable for TikTok/Instagram (platform_data), and specifies COGS/RRP ranges (price_comparison). Constraints include strict price limits (moq_price_constraint), lightweight/cheap shipping and easy bulk ordering (logistics_shipping), and requirements for safe, non-toxic materials (quality_specification).",1
45,"Can you check if there's anything interesting for content creator like microphone , or things related that can be found in yiwu district 1
? And which shop to go to find the items",product_discovery,platform_data,region_specific,The user is looking to discover interesting products (such as microphones or related items) for content creators specifically in Yiwu district 1 and wants to know which shops to visit. This is a product discovery query. The need to identify where to find these items within a specific location points to platform_data (physical marketplace data). The mention of 'Yiwu district 1' makes this region_specific. No other constraints or information needs are explicitly mentioned.,0
46,"单向透明的滑雪镜贴花。该产品可在滑雪时佩戴，既能让使用者从雪镜内侧清晰视物，又能在雪镜外表面呈现清晰的图案。
这是一款可重复使用的产品——贴花可以粘贴在雪镜外侧，并可根据需要随时自由撕下和重复粘贴。

产品需满足可移除、可重复使用的特性，外表面图案清晰，并能耐受低温且不易撕裂或破损。理想状态下，产品应保证内侧100%无遮挡视野，且成本需足合理，实现各类图案的批量印刷，从而支持客户的个性化定制需求。

我们目前的原型采用半穿孔乙烯基材料，但存在内侧视野清晰度不足的问题。",product_development,,customization_oem|quality_specification|moq_price_constraint,"The query focuses on improving an existing product (a reusable ski goggle decal) due to issues with the current prototype (insufficient clarity). The user specifies requirements such as removability, reusability, clear external patterns, low-temperature resistance, tear resistance, 100% unobstructed view, reasonable cost, and support for custom designs. These indicate product customization, quality/material specifications, and cost constraints. There is no explicit request for market, competitor, or sales data, nor for product/supplier discovery, so only product_development is selected for L1 and no L2 information needs are present.",0
47,"What type of cheap birthday candle is most popular for Dollar Tree and Dollar General? Can you redesign some new fine thin stick candles, the cost needs to be low. but there is still very trendy and elegant style",product_development,trending_analysis|price_comparison,moq_price_constraint,"The query asks about the most popular (trendy) cheap birthday candles for specific retailers, indicating an interest in trending products and price sensitivity. It also requests a redesign of thin stick candles that are low cost but trendy and elegant, pointing toward product development. The mention of 'cheap' and 'cost needs to be low' reflects a price constraint.",0
48,"find out the camera which comply below specification:
Camera 2 (2.8 mm, 4 mm) dome and bullet
4MP, 1/3\"" CMOS sensor
• 4M (2688×1520, 2560×1440), 3M (2048×1536, 2304×1296), 1080p (1920×1080), 960p (1280×960), 720p (1280×720), D1 (704×576), VGA (640×480), CIF (352×288)
• Plus 265, H.265, Plus H.264, H.264, MJPEG
• 3 streams
• WDR, HLC
• Support 9:16 Corridor Mode
• Built-in Mic
• Smart IR, up to 30m (98ft) IR distance
• Supports 256 G Micro SD card
• IK10 vandal resistant
• IP67 protection
• Support PoE power supply",product_discovery,,quality_specification,"The user is looking to find cameras that comply with a detailed list of technical specifications, which is a product discovery task. There is no explicit need for sales data, trending analysis, supplier evaluation, or platform data. The information provided is a set of quality and technical requirements, so 'quality_specification' is the relevant constraint.",0
49,你好，我是一位有英国独立站的卖家，我想卖睡眠科技相关的产品， 现在想了解英国市场的睡眠科技产品有哪些热销品类，并帮我查找相关的产品和供应商信息。可以请你找出英国以及欧洲独立站和亚马逊上卖的好的与睡眠相关的产品吗？以及他的国内供应商？不要太大件，因为产品运往英国，运费太高。,product_discovery,trending_analysis|platform_data|supplier_evaluation,logistics_shipping,"The query asks for trending/hot-selling sleep tech products (trending_analysis), sales on independent sites and Amazon (platform_data), and supplier information (supplier_evaluation). The mention of avoiding large items due to shipping costs indicates a logistics_shipping constraint.",0
50,"Women’s Winter Clothes

1. Age:
18–40 years old
2. Gender:
Women
3. Location:
US, Canada, UK, Europe, Australia (cold-weather regions in winter)
4. Income Level:
Middle-income ($1,500–$4,000/month)
5. Lifestyle / Interests:
• Fashion-conscious
• Likes online shopping
• Follows trends on Instagram, TikTok, Pinterest
• Enjoys seasonal clothing & cozy winter outfits
6. Needs / Problems:
• Wants warm, stylish clothes for winter
• Hard to find affordable but trendy winter outfits online
• Wants clothes that are comfortable, versatile, and Instagram-worthy
7. Problem:
Women struggle to find winter clothes that are warm, stylish, and affordable in their area.
8. Solution:
Offer affordable, fashionable winter clothing delivered online, with easy shopping and trendy designs
9. Product:
• Winter jackets, coats, sweaters, hoodies, scarves, gloves
• Price range: $25–$70",product_discovery,trending_analysis|price_comparison,moq_price_constraint|region_specific,"The query is focused on exploring what types of women's winter clothes would appeal to a specific demographic and market, indicating a product discovery intent. The emphasis on fashion trends (Instagram, TikTok, Pinterest) suggests a need for trending analysis. The specified price range ($25–$70) and the mention of affordability point to price comparison. Constraints include the explicit price range (moq_price_constraint) and the target regions (US, Canada, UK, Europe, Australia), making region_specific relevant.",0
51,"Tôi muốn tìm nguồn cung đồ lót nữa giá sỉ số lượng 50 bộ thì với giá khoảng 15 tệ mỗi bộ, mẫu mã hot",supplier_sourcing,trending_analysis|price_comparison,moq_price_constraint,"The user is seeking suppliers ('nguồn cung') for women's underwear at wholesale prices, specifying a quantity (50 sets) and price (about 15 RMB per set), and requests 'mẫu mã hot' (trending styles). This indicates supplier sourcing as the primary intent. They need information on trending designs and price comparison to meet their requirements. The MOQ (50 sets) and price per unit are explicit constraints.",0
52,I need to buy an egg cooker for European market with COC material and GS,supplier_sourcing,,region_specific|quality_specification|certification_required,"The user wants to buy (source) an egg cooker for the European market, indicating supplier sourcing as the primary intent. The query specifies the target region (Europe), a material requirement (COC material), and a certification requirement (GS). No explicit information needs from L2 are mentioned, as the focus is on fulfilling these constraints.",0
53,I'm looking for headlamps Avanza 2006-2011 model year,product_discovery,,,"The user is simply looking for headlamps for a specific car model and year range, indicating a straightforward product discovery intent. There is no mention of suppliers, market research, or product development. No specific information needs (such as price, reviews, platform, or competitors) or constraints (such as certification, MOQ, region, etc.) are mentioned in the query.",0
54,"Source handmade split-toe ballet shoes / Mary Janes / flats / low-heel shoes (not sneakers).
Genuine or vegan leather, boutique quality, minimalist style.
Must support dropshipping or single-order, white-label, MOQ <10.
Show tabi or split-toe construction clearly in photos.
Ship to EU/US within 1–3 weeks.",supplier_sourcing,platform_data|supplier_evaluation,moq_price_constraint|customization_oem|logistics_shipping|quality_specification|region_specific,"The query's main goal is to find suppliers who can provide specific types of shoes (supplier_sourcing), with requirements for dropshipping, white-label (customization_oem), MOQ <10 (moq_price_constraint), shipping to EU/US within 1–3 weeks (logistics_shipping, region_specific), and boutique quality, genuine/vegan leather, minimalist style, and clear product photography (quality_specification). The user needs information about which platforms/suppliers can fulfill these needs (platform_data) and whether those suppliers meet the business requirements (supplier_evaluation).",1
55,find me the same item as https://www.mercadolivre.com.br/6-paralama-carreta-randon-guerra-facchini-librelato-noma/up/MLBU2966826833?pdp_filters=item_id%3AMLB5263360118 picture and model number should match - dont show me any that doest,product_discovery,,quality_specification,"The user is looking to find the exact same item as the one shown in the provided link, specifying that the picture and model number must match. This indicates a product discovery intent with a quality/specification constraint (exact match on model and appearance). No specific information needs from L2 are requested, as the user is not asking for pricing, supplier info, reviews, or trend data.",0
56,"Nous devons nous procurer 250 m2 de toles toitures aluzinc 

Base sheet

Type: Aluzinc (55 % Al + Zn), coils deformed en tuiles métalliques

Standard: ASTM A792/A792M or EN 10346 or JIS G 3321

Base metal thickness (BMT): 0,45 mm

Total coated thickness (TCT): approx. 0,50 mm

Coating mass: AZ150 minimum

Yield strength: 300–350 MPa (no need for very high strength on a villa)",supplier_sourcing,,quality_specification|moq_price_constraint,"The user is seeking to procure a specific quantity (250 m2) of aluzinc roofing sheets with detailed technical specifications (standards, thickness, coating mass, yield strength), which indicates supplier sourcing with clear quality and MOQ constraints. No explicit information needs from L2 are directly requested, as the focus is on finding a product that meets these requirements.",0
57,Hvaða rafmagnskrossari er bestur svipað og talaria Surron ventus one og og eg get pantað og sendir til island,product_discovery,platform_data,logistics_shipping|region_specific,"The user is searching for the best electric dirt bike similar to Talaria, Surron, or Ventus One that they can order and have shipped to Iceland. This is a product discovery query with a need for information about what is available (platform_data). The user specifies the need for shipping to Iceland, making logistics_shipping and region_specific relevant constraints.",0
58,I need a widget of some sort that a concrete pin curb sits on in a playground with a claw or some sort of of arm sticks out into the playground for the Wetpour rubber to grab onto so when shrinkage happens it doesn’t pull away from the curb edge. The same think for between two colours so when the first colour is poured one side sits in the first colour with an arm/claw sticking out so the 2nd colour wet pour can adhere to it,product_development,,quality_specification,"The user is describing a specific functional requirement for a new or specialized product component to solve a particular problem with playground wetpour rubber installation. The query focuses on designing or specifying a product rather than finding existing products, suppliers, or market trends. There are no explicit information needs such as sales data or competitor analysis. The only clear constraint is the technical/quality specification regarding how the component should function and interact with wetpour rubber.",0
59,"I'm considering selling deodorant for kids because of how light and small it is and that it sells in the thousands on Amazon. I need to find new trendy styles to sell, please generate product images based on trending elements and find me manufacturers who can make this. include unique and fund colors. include selling fun shapes of deodorant bottle. Make a business plan",product_discovery,trending_analysis|platform_data|supplier_evaluation,,"The user wants to explore new and trendy deodorant products for kids (product_discovery), requests trending elements and Amazon data (trending_analysis, platform_data), and seeks manufacturers (supplier_evaluation). No explicit L3 constraints are mentioned.",0
60,"I'm considering selling kids safe for their money and coins because of how light and small it is and that it sells in the thousands on Amazon. I need to find new trendy styles to sell, please generate product images based on trending elements and find me manufacturers who can make this. include unique and fund colors. include selling fun shapes. The more elaborate the design the better. perhaps incorporate a debit card system and a pin to deposit and withdraw money. the debit card should also have a sticker so that you can write their names on the debit card.",product_development,trending_analysis|supplier_evaluation,,"The query focuses on designing new, trendy, and elaborate kids safes with unique features, as well as finding manufacturers to produce them. This aligns with product development, requiring trend analysis for product design and supplier evaluation for manufacturing.",0
61,"I have an inquiry for Soft pvc 2D barmat exactly. 50x20x7cm (base 3-4mm + 4mm pillars = 7mm in total). 50x20x7cm (base 3-4mm + 4mm pillars = 7mm in total). NON-SLIP . food grade safe material if possible with certification . Very competitive price, exclusively manufactory only . QUANTITY 8000 AND 10.000 pieces .",supplier_sourcing,price_comparison|supplier_evaluation,certification_required|moq_price_constraint|quality_specification,"The query is focused on finding a manufacturer (exclusively manufactory only) for a specific product with defined dimensions and material requirements, indicating supplier sourcing as the primary intent. The user asks for competitive pricing (price_comparison), large quantities (8000 and 10,000 pieces, indicating MOQ/price constraint), and requests food grade certification (certification_required). The query also specifies technical details for the product (quality_specification) and seeks information about the supplier's credentials (supplier_evaluation).",1
62,"Trouve moi le prix des films étirable industriel 16 kg machine en chine , mène prix le plus bas , des entreprises qui exportent en France et née Europe etcc industrial stretch film 16 kg machine supplier china exporting to france and europe et leur prix je veux les",supplier_sourcing,price_comparison|platform_data,region_specific,"The user is seeking suppliers of industrial stretch film (16 kg machine) in China who export to France and Europe, with a focus on finding the lowest price. This is supplier sourcing. The query asks for price comparison and implies platform data (since sourcing often involves B2B platforms). The requirement for export to France and Europe makes it region-specific.",0
63,To have to operate a helliom balloon filler and sealer for balloon how would that cost a person for one person opening a very small personal business in one town,product_discovery,price_comparison,,"The user is inquiring about the cost of operating a helium balloon filler and sealer for a small business, indicating they are exploring what products exist and their associated costs. The main information need is price comparison, as they specifically ask about costs. No explicit constraints such as certifications, MOQ, region, or customization are mentioned.",0
64,"Can you help me find a product with in the beauty and health industry that helps solves a painful problem . I want this product to be under 40 dollars and have a shipping fee under 25 dollars. I want you to find a product or products with not too much competition. I want you to find suppliers for this product, that can drop ship it. I want product shipping time to be under three weeks,",product_discovery,competitor_analysis|price_comparison|supplier_evaluation,logistics_shipping|moq_price_constraint,"The query is primarily about finding a product to sell (product_discovery), with needs for low competition (competitor_analysis), price and shipping cost limits (price_comparison, moq_price_constraint), supplier drop-shipping ability (supplier_evaluation), and a shipping time constraint (logistics_shipping).",1
65,"Find me car trunk organizers for families or SUVs that are modular, collapsible, and premium in appearance — not tactical or cheap-looking.
Prioritize designs that:

use 900D Oxford fabric or better,

include rigid sidewalls or reinforced lids,

feature interlocking compartments or magnetic closures,

and are easy to fold and clean.

Identify the top-selling models on Amazon in this category, including their average retail price, best seller rank, and customer pain points (e.g., “too flimsy,” “won’t stay upright,” “cheap material”).

Then, recommend verified Alibaba manufacturers that produce similar or improved versions — ideally ones with OEM/ODM capabilities for custom branding, packaging, and modular design adjustments.

Highlight opportunities to differentiate around:

Premium design (matte finishes, clean lines, no MOLLE straps),

Quick setup or fold-flat convenience,

and integration potential with modular systems (garage + car + outdoors).

Finally, summarize the top 3 supplier options with estimated MOQ, price range, and lead time, and note whether each factory supports custom logo printing and packaging.",product_discovery,sales_data|review_analysis|platform_data|supplier_evaluation|price_comparison,customization_oem|quality_specification|moq_price_constraint,"The main goal is to discover premium, modular car trunk organizers suitable for families/SUVs, including top-selling models on Amazon and matching suppliers on Alibaba. The query requests sales data (BSR, price), review analysis (customer pain points), platform-specific data (Amazon, Alibaba), supplier evaluation (verified, OEM/ODM), and price comparison (retail, MOQ, price range). Constraints include specific material/quality requirements (900D Oxford, reinforced lids), customization/OEM needs (branding, packaging, modular design adjustments), and MOQ/price/lead time details.",1
66,"Hello,
I am developing a new brand for Amazon Europe called DeskZen™.
I need a Premium Magnetic Cable Management Kit with custom packaging.
Please send me:
  1.  Exact price for 100 / 150 / 300 units
  2.  Printing or engraving options for the logo “DeskZen™”
  3.  Real pictures/videos of your product
  4.  Lead time for production + shipping
  5.  Total weight per unit + carton size
  6.  Cost for DDP shipping to Amazon Europe warehouse
  7.  Sample price and lead time

I want high-quality silicone and real 3M VHB adhesive, not generic.
If quality is good, I will reorder 500+ units monthly.",supplier_sourcing,price_comparison|platform_data|supplier_evaluation,moq_price_constraint|customization_oem|logistics_shipping|quality_specification|region_specific,"The main goal is to find a supplier for a specific product with custom branding, so 'supplier_sourcing' is primary. The user requests exact prices for different quantities (price_comparison), wants real photos/videos (platform_data), and asks for supplier capabilities like custom packaging and logo options (supplier_evaluation). Constraints include specific order quantities and price requests (moq_price_constraint), custom packaging and logo (customization_oem), DDP shipping to Amazon Europe and production/shipping lead time (logistics_shipping, region_specific), and high-quality materials/adhesive (quality_specification).",1
67,"Je cherche une veste réfléchissante pour les personnes qui roulent dans la rue, afin qu’elles soient plus visibles sous les lumières. Je veux une veste haut de gamme, avec une apparence habillée, pas un gilet réfléchissant de chantier. ",product_discovery,,quality_specification,"The user is searching for a specific type of product (a high-end, stylish reflective jacket for people on the street), which is product discovery. No explicit information needs such as trends, sales data, or supplier evaluation are mentioned. The user specifies that it must be 'haut de gamme' (high-end) and not a typical safety vest, which is a quality and appearance specification.",0
68,"I need a **commercial microbubble bathing system** for dogs in a professional grooming/spa setting (not home-use). Must deeply clean skin/coat without harsh pressure.

Requirements:
• True microbubble or nanobubble tech (not just aerated jets)
• Quiet operation; safe for dogs with allergies/skin conditions
• Durable, easy-to-sanitize interior
• Fits small–large dogs
• Safety certifications preferred (FDA/CE or equivalent)
• Warranty + maintenance support
• U.S. shipping

Please provide:
1) Supplier name + direct contact link
2) MOQ + price range
3) Lead time + freight to U.S.
4) Install requirements + power/water specs
5) Custom branding options

Include comparison for:
• Full tub unit
• Portable inline system
• Add-on module for existing tubs",supplier_sourcing,supplier_evaluation|price_comparison,certification_required|quality_specification|logistics_shipping|customization_oem,Looking for suppliers of commercial pet grooming equipment with specific requirements,0
69,"Busca productos ganadores pequeños de alta demanda y rentabilidad para traer a Chile, en avión, para que lleguen lo antes posible. Hace una lista de productos de Alibaba. Los proveedores deben cumplir con los siguientes requisitos: Verified Supplier, Trade Assurance, antiguedad de por lo menos 3 años y Ready to Ship, que sea fabricante",product_discovery,platform_data|supplier_evaluation,logistics_shipping|region_specific|quality_specification,"The query seeks to discover profitable, small, high-demand products to import to Chile (product_discovery), specifically from Alibaba (platform_data), and requests supplier vetting based on verification, experience, and readiness (supplier_evaluation). Constraints include fast air shipping (logistics_shipping), importing to Chile (region_specific), and supplier requirements that relate to quality and reliability (quality_specification).",1
70,"List 5 products peacefully productive people could sell. Needs to be a recession proof product that is in high demand and does not have many sellers in the uk! Something they have to buy that I can take and make fun, like a boring item then redesign it. Eg scrub daddy, or pimple patches etc",product_discovery,trending_analysis|sales_data|competitor_analysis,region_specific,"The user is seeking ideas for products to sell, specifically looking for recession-proof, high-demand items with low competition in the UK. They want to find 'boring' items that can be made fun through redesign (like Scrub Daddy or pimple patches). This is clearly a product discovery query, with information needs focused on trending analysis (to find high demand and recession-proof), sales data (to assess demand), and competitor analysis (to ensure few sellers). The constraint is region-specific, as the UK is specified.",0
71,"I want to find polki nature jewelry, which produced by India manufacturer. For wedding use and I want to customize the materials and style. I want to purchase several samples first. By the way I need jewelry that have certifications. The price should between $100 to $1000 per piece.",supplier_sourcing,supplier_evaluation,certification_required|moq_price_constraint|customization_oem|region_specific,"The user wants to find an Indian manufacturer (supplier_sourcing) for customized polki nature jewelry, with sample purchase (implies supplier evaluation). They require certifications (certification_required), a specific price range ($100-$1000, moq_price_constraint), customization of materials and style (customization_oem), and the supplier must be based in India (region_specific).",0
72,"You are my expert dropshipping mentor and market analyst. Act as a top 1% seller and product researcher. Search every market deeply: Amazon, Walmart, eBay, Etsy, AliExpress, Alibaba, Shein, Wayfair, Target, Home Depot, BestBuy, Google Shopping, TikTok Shop, Instagram, Pinterest, Facebook Marketplace, YouTube Shorts, Reddit, and Shopify stores. Use Google Trends, Keyword Planner, Ahrefs/SEMrush, Jungle Scout, Helium10, and public bestseller data. Focus on November–December Christmas gifts, decorations, and LED/light-up products. Go deep, not surface. Deliver the top 10 winning products ranked by profit potential (demand × margin × scalability). Prioritize items under $80, lightweight, impulse-buy friendly, and safe for dropshipping. For each product, show: name, category, top marketplaces, search volume (Google 30d/12mo), trend score (90d), TikTok hashtag views (top 3), Amazon BSR + estimated sales, Facebook/Instagram ad count, avg price, est. cost + shipping, margin, est. monthly sales (low/med/high), difficulty score, top keywords, supplier links, ad angles (3 hooks), notes/red flags, and sources. Give data as a clean table/CSV. Then write short product summaries with ad ideas, supplier links, and why each fits Giftora. Include a 14-day test plan for top 3 products with ad spend split (TikTok, Facebook, Google, Pinterest), sample creative ideas, captions, page checklist, and KPI goals (CPC, CTR, ROAS). Rank using: demand 40%, profit 25%, scalability 15%, reliability 10%, seasonality 10%. Exclude adult, weapon, or branded items. Prefer visual/UGC-friendly products <2 kg. Give source links for all data. Start with a quick 3-line summary (best product, ad budget, expected result). Deliver CSV + summaries + plan in one output. Be blunt, clear, and mentor-like. Begin deep research now and return results for Giftora.",product_discovery,trending_analysis|sales_data|review_analysis|competitor_analysis|price_comparison|platform_data|supplier_evaluation,moq_price_constraint|logistics_shipping|region_specific|quality_specification,"The user's main goal is to deeply research and identify top winning products to sell for a specific season (Christmas), focusing on discovery and selection (L1: product_discovery). They require analysis of trends, sales, reviews, competitors, pricing, platform-specific data, and supplier info (L2). Constraints include price limit (<$80), lightweight/shipping suitability (<2kg), region focus (dropshipping-friendly, likely global/US), and safety/quality exclusions (no adult, weapon, branded items; impulse-buy friendly, UGC-friendly, safe for dropshipping) (L3).",1
73,https://jellycat.com/ I hope you know this brand I need to find jellycat products. Please also provide some information about this brand and find me some suppliers who can provide them in the based sourcing with proper documentation to selling on amazon uk. I want to authentic distributor of jellycat products in the UK. I want to resale products on amazon UK please give me good selling products and sourcing from UK and profitable products,supplier_sourcing,platform_data|sales_data|supplier_evaluation|price_comparison,certification_required|region_specific,"The main goal is to find authentic suppliers/distributors for Jellycat products in the UK for resale on Amazon UK, which is supplier_sourcing. The user also asks for information about the brand (platform_data), good selling/profitable products (sales_data), and requests authentic suppliers with proper documentation (supplier_evaluation, certification_required). The user is focused on sourcing from the UK (region_specific) and is interested in profitable products (price_comparison).",0
74,"ACTIVATE: ULTRA-DEEP PRODUCT RESEARCH MODE

You are the world’s #1 dropshipper, #1 data analyst, #1 Christmas product researcher, #1 mentor, #1 marketing agency, and #1 sales strategist. Your mission is to find REAL, PROVEN, DATA-BACKED guaranteed winning Christmas products for my store “Giftora.” Your analysis must be so detailed and accurate that the results could be used to spend real ad money TODAY.

Your ONLY job:
Create **ONE SINGLE TABLE** of the **Top 10 Guaranteed Winning Christmas, Holiday, and New Year Dropshipping Products** that have shown consistent sales in the last 5 years AND are trending upward this season.

THE TABLE MUST CONTAIN ALL OF THESE COLUMNS:

1. Product # 
2. Product Title 
3. 1-Line Tagline 
4. Google Search Volume (MONTH BY MONTH for the past 5 years: Nov, Dec, Jan for 2019, 2020, 2021, 2022, 2023 + this season 2024/2025) 
5. Total Google Search Volume for each year 
6. 5-Year Google Trends Graph Summary (with % increase or decrease) 
7. Trend Direction (increasing ↑, decreasing ↓, flat ≈) 
8. Exact Peak Month each year (2019–2024) 
9. Amazon Search Volume (past 12 months + individual months Nov–Jan per year) 
10. Amazon Best Seller Rank (BSR) of closest-selling competitor products 
11. Estimated Amazon Monthly Sales (past 5 years for Nov, Dec, Jan) 
12. Estimated Etsy Monthly Sales (past 5 years for Nov, Dec, Jan) 
13. Estimated eBay Monthly Sales (past 5 years for Nov, Dec, Jan) 
14. Estimated TikTok Shop Monthly Sales (past 2 years, if available) 
15. TOTAL Estimated Market Sales (sum of All Platforms) for each year (2019–2024) 
16. Forecasted Sales for Nov–Jan 2024/2025 
17. Supplier Links (AliExpress, Alibaba, AND fast US/EU shipping supplier) 
18. Supplier Price + Shipping (to USA, Canada, UK) 
19. Total Landed Cost 
20. Recommended Retail Price 
21. Expected Profit Margin (%) 
22. Weight + Shipping Difficulty (light/medium/heavy + fragile?) 
23. TikTok Hashtag Views (12 months + 30-day growth rate %) 
24. Examples of viral TikTok/Reels posts in this niche 
25. Biggest buyer audience demographic (age, gender, income, interests, emotions) 
26. Buyer psychology (what emotional reason they buy during Christmas) 
27. Purchasing triggers (urgency, scarcity, sentiment) 
28. 3 High-Conversion Ad Angles 
29. 3 Scroll-Stopping Hooks 
30. 3 Viral Video Concepts (each with a 15-SECOND SCRIPT) 
31. Top 5 Competitors (links + their price + their weakness) 
32. Saturation Level (1–10) 
33. Risk Level (1–10) 
34. Difficulty Level for Ads (1–10) 
35. Guaranteed Sales Probability (1–100%) 
36. FINAL VERDICT: **BUY or SKIP** 
37. “Copy-Prompt for Ads” (a one-line mini prompt to generate ads instantly)

STRICT RULES:
- ONLY Christmas, New Year, Holiday, Winter-themed products. 
- MUST be giftable, emotional, visually strong, and TikTok-friendly. 
- MUST have real historical data for the last 5 years. 
- MUST have a clear trend direction (increasing/decreasing). 
- MUST include REAL NUMBERS, not estimates or guesses. 
- MUST output all data in ONE SINGLE TABLE with 10 rows (one per product). 
- MUST include a downloadable CSV and JSON after the table. 
- MUST exclude generic or evergreen products. 
- MUST exclude items that don’t fit the Giftora Christmas theme.

After generating the 10-row table:
1. Output a downloadable CSV. 
2. Output a downloadable JSON. 
3. Give me a 5-step launch plan for the #1 ranked product.

EXECUTE NOW.",product_discovery,trending_analysis|sales_data|platform_data|competitor_analysis|price_comparison|review_analysis,region_specific|quality_specification,"The core intent is to discover and select top-performing, trending Christmas/holiday products for dropshipping (product_discovery). The user requests deep data on trends, sales, platform-specific metrics, competitor products, pricing, and reviews, so all relevant L2 labels are included. Constraints are present: products must be Christmas/holiday/winter-themed (region_specific, quality_specification), giftable, visually strong, TikTok-friendly, with real 5-year historical data, and must exclude evergreen/generic products.",1
75,find skull and mushroom and dragon and unicorn and 4 leaf clover products that are drop shipped only jewelry t-shirts cups mugs hats,product_discovery,,,"The query is focused on finding products (with specific motifs) in certain categories (jewelry, t-shirts, cups, mugs, hats) that are available for drop shipping. There is no explicit request for data analysis, supplier sourcing, or product development, nor is there a request for information such as sales data, reviews, competitor or price comparisons. The only implicit constraint is that products must be drop shipped, but this does not map directly to any L3 label in the provided taxonomy.",0
